NOME_SENADOR,DATA,VOTO
EDUARDO GIRÃO,DATA,RESULTADO
EDUARDO GIRÃO,20/02/2024,Sim
EDUARDO GIRÃO,20/02/2024,Não
EDUARDO GIRÃO,05/03/2024,Sim
EDUARDO GIRÃO,13/03/2024,Sim
EDUARDO GIRÃO,13/03/2024,Sim
EDUARDO GIRÃO,10/04/2024,Sim
EDUARDO GIRÃO,16/04/2024,Sim
EDUARDO GIRÃO,16/04/2024,Sim
EDUARDO GIRÃO,17/04/2024,Sim
EDUARDO GIRÃO,08/05/2024,Não
EDUARDO GIRÃO,08/05/2024,Não
EDUARDO GIRÃO,08/05/2024,Sim
EDUARDO GIRÃO,08/05/2024,Sim
EDUARDO GIRÃO,15/05/2024,Sim
EDUARDO GIRÃO,15/05/2024,Sim
EDUARDO GIRÃO,22/05/2024,Sim
EDUARDO GIRÃO,22/05/2024,Sim
EDUARDO GIRÃO,22/05/2024,Sim
EDUARDO GIRÃO,05/06/2024,Sim
EDUARDO GIRÃO,18/06/2024,Não
EDUARDO GIRÃO,19/06/2024,Votou
EDUARDO GIRÃO,19/06/2024,Votou
EDUARDO GIRÃO,19/06/2024,Votou
EDUARDO GIRÃO,19/06/2024,P-NRV
EDUARDO GIRÃO,19/06/2024,P-NRV
EDUARDO GIRÃO,19/06/2024,P-NRV
EDUARDO GIRÃO,19/06/2024,P-NRV
EDUARDO GIRÃO,02/07/2024,Sim
EDUARDO GIRÃO,03/07/2024,Sim
EDUARDO GIRÃO,03/07/2024,Sim
EDUARDO GIRÃO,10/07/2024,P-NRV
EDUARDO GIRÃO,10/07/2024,Votou
EDUARDO GIRÃO,10/07/2024,P-NRV
EDUARDO GIRÃO,10/07/2024,P-NRV
EDUARDO GIRÃO,10/07/2024,P-NRV
EDUARDO GIRÃO,10/07/2024,P-NRV
EDUARDO GIRÃO,10/07/2024,P-NRV
EDUARDO GIRÃO,10/07/2024,P-NRV
EDUARDO GIRÃO,10/07/2024,P-NRV
EDUARDO GIRÃO,10/07/2024,P-NRV
EDUARDO GIRÃO,10/07/2024,P-NRV
EDUARDO GIRÃO,13/08/2024,P-NRV
EDUARDO GIRÃO,14/08/2024,Sim
EDUARDO GIRÃO,14/08/2024,P-NRV
EDUARDO GIRÃO,14/08/2024,P-NRV
EDUARDO GIRÃO,14/08/2024,P-NRV
EDUARDO GIRÃO,14/08/2024,Sim
EDUARDO GIRÃO,14/08/2024,Sim
EDUARDO GIRÃO,14/08/2024,Não
EDUARDO GIRÃO,14/08/2024,Não
EDUARDO GIRÃO,14/08/2024,Não
EDUARDO GIRÃO,14/08/2024,Não
EDUARDO GIRÃO,04/09/2024,Sim
EDUARDO GIRÃO,08/10/2024,Votou
EDUARDO GIRÃO,12/11/2024,Sim
EDUARDO GIRÃO,12/11/2024,Não
EDUARDO GIRÃO,18/11/2024,Não
EDUARDO GIRÃO,18/11/2024,Não
EDUARDO GIRÃO,18/11/2024,Sim
EDUARDO GIRÃO,27/11/2024,Sim
EDUARDO GIRÃO,10/12/2024,Votou
EDUARDO GIRÃO,10/12/2024,Votou
EDUARDO GIRÃO,10/12/2024,Votou
EDUARDO GIRÃO,10/12/2024,Votou
EDUARDO GIRÃO,10/12/2024,P-NRV
EDUARDO GIRÃO,10/12/2024,P-NRV
EDUARDO GIRÃO,10/12/2024,Votou
EDUARDO GIRÃO,10/12/2024,Votou
EDUARDO GIRÃO,10/12/2024,P-NRV
EDUARDO GIRÃO,10/12/2024,Votou
EDUARDO GIRÃO,12/12/2024,Votou
EDUARDO GIRÃO,12/12/2024,P-NRV
EDUARDO GIRÃO,12/12/2024,Votou
EDUARDO GIRÃO,12/12/2024,Votou
EDUARDO GIRÃO,12/12/2024,Votou
EDUARDO GIRÃO,12/12/2024,Não
EDUARDO GIRÃO,12/12/2024,Não
EDUARDO GIRÃO,12/12/2024,Sim
EDUARDO GIRÃO,12/12/2024,Sim
EDUARDO GIRÃO,12/12/2024,Sim
EDUARDO GIRÃO,17/12/2024,Sim
EDUARDO GIRÃO,17/12/2024,Sim
EDUARDO GIRÃO,17/12/2024,Sim
EDUARDO GIRÃO,17/12/2024,Sim
EDUARDO GIRÃO,18/12/2024,Sim
EDUARDO GIRÃO,18/12/2024,Sim
EDUARDO GIRÃO,18/12/2024,Sim
EDUARDO GIRÃO,19/12/2024,Sim
EDUARDO GIRÃO,19/12/2024,Sim
EDUARDO GIRÃO,19/12/2024,Sim
EDUARDO GIRÃO,19/12/2024,Sim
EDUARDO GIRÃO,19/12/2024,Não
EDUARDO GIRÃO,19/12/2024,Sim
EDUARDO GIRÃO,19/12/2024,Não
EDUARDO GIRÃO,19/12/2024,Não
FLÁVIO BOLSONARO,DATA,RESULTADO
FLÁVIO BOLSONARO,20/02/2024,Sim
FLÁVIO BOLSONARO,20/02/2024,Não
FLÁVIO BOLSONARO,05/03/2024,Não
FLÁVIO BOLSONARO,13/03/2024,Sim
FLÁVIO BOLSONARO,13/03/2024,Sim
FLÁVIO BOLSONARO,10/04/2024,Sim
FLÁVIO BOLSONARO,16/04/2024,Sim
FLÁVIO BOLSONARO,16/04/2024,Sim
FLÁVIO BOLSONARO,17/04/2024,Sim
FLÁVIO BOLSONARO,08/05/2024,Não
FLÁVIO BOLSONARO,08/05/2024,Não
FLÁVIO BOLSONARO,08/05/2024,Sim
FLÁVIO BOLSONARO,08/05/2024,Sim
FLÁVIO BOLSONARO,15/05/2024,Sim
FLÁVIO BOLSONARO,15/05/2024,Sim
FLÁVIO BOLSONARO,22/05/2024,Sim
FLÁVIO BOLSONARO,22/05/2024,Sim
FLÁVIO BOLSONARO,22/05/2024,Sim
FLÁVIO BOLSONARO,05/06/2024,Sim
FLÁVIO BOLSONARO,18/06/2024,Não
FLÁVIO BOLSONARO,19/06/2024,Votou
FLÁVIO BOLSONARO,19/06/2024,Votou
FLÁVIO BOLSONARO,19/06/2024,P-NRV
FLÁVIO BOLSONARO,19/06/2024,Votou
FLÁVIO BOLSONARO,19/06/2024,Votou
FLÁVIO BOLSONARO,19/06/2024,Votou
FLÁVIO BOLSONARO,19/06/2024,Votou
FLÁVIO BOLSONARO,02/07/2024,Sim
FLÁVIO BOLSONARO,03/07/2024,P-NRV
FLÁVIO BOLSONARO,03/07/2024,Sim
FLÁVIO BOLSONARO,10/07/2024,Votou
FLÁVIO BOLSONARO,10/07/2024,Votou
FLÁVIO BOLSONARO,10/07/2024,P-NRV
FLÁVIO BOLSONARO,10/07/2024,Votou
FLÁVIO BOLSONARO,10/07/2024,Votou
FLÁVIO BOLSONARO,10/07/2024,Votou
FLÁVIO BOLSONARO,10/07/2024,Votou
FLÁVIO BOLSONARO,10/07/2024,Votou
FLÁVIO BOLSONARO,10/07/2024,Votou
FLÁVIO BOLSONARO,10/07/2024,P-NRV
FLÁVIO BOLSONARO,10/07/2024,P-NRV
FLÁVIO BOLSONARO,13/08/2024,Sim
FLÁVIO BOLSONARO,14/08/2024,Sim
FLÁVIO BOLSONARO,14/08/2024,P-NRV
FLÁVIO BOLSONARO,14/08/2024,Votou
FLÁVIO BOLSONARO,14/08/2024,Votou
FLÁVIO BOLSONARO,14/08/2024,Sim
FLÁVIO BOLSONARO,14/08/2024,Sim
FLÁVIO BOLSONARO,14/08/2024,Sim
FLÁVIO BOLSONARO,14/08/2024,Sim
FLÁVIO BOLSONARO,14/08/2024,Sim
FLÁVIO BOLSONARO,14/08/2024,Sim
FLÁVIO BOLSONARO,04/09/2024,Sim
FLÁVIO BOLSONARO,08/10/2024,Votou
FLÁVIO BOLSONARO,12/11/2024,Sim
FLÁVIO BOLSONARO,12/11/2024,Não
