"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2025","65.86","67.87","67.74","65.72","4.07M","-2.43%"
"06/09/2025","67.50","64.03","67.86","63.91","5.94M","4.63%"
"06/06/2025","64.51","66.99","66.99","64.41","5.55M","-3.28%"
"06/05/2025","66.70","67.07","67.50","66.01","3.09M","-1.10%"
"06/04/2025","67.44","65.53","68.58","65.11","5.26M","4.06%"
"06/03/2025","64.81","65.37","66.17","64.81","1.97M","-0.89%"
"06/02/2025","65.39","66.00","66.13","65.15","2.00M","-0.15%"
"05/30/2025","65.49","66.70","66.83","64.62","4.89M","-1.42%"
"05/29/2025","66.43","66.50","67.17","65.62","3.00M","-0.70%"
"05/28/2025","66.90","68.38","68.67","66.46","3.45M","-2.19%"
"05/27/2025","68.40","67.82","68.56","67.53","3.91M","2.09%"
"05/26/2025","67.00","67.13","67.52","66.70","1.07M","-0.19%"
"05/23/2025","67.13","67.00","67.33","65.97","3.48M","0.15%"
"05/22/2025","67.03","66.97","67.89","66.63","2.50M","-0.24%"
"05/21/2025","67.19","68.60","68.94","67.08","2.44M","-2.31%"
"05/20/2025","68.78","70.70","70.80","68.50","3.39M","-2.65%"
"05/19/2025","70.65","68.82","70.76","68.69","3.60M","2.76%"
"05/16/2025","68.75","69.21","69.81","68.06","3.82M","-1.57%"
"05/15/2025","69.85","69.00","70.20","68.70","2.20M","0.40%"
"05/14/2025","69.57","69.57","70.54","69.09","3.58M","0.36%"
"05/13/2025","69.32","68.02","69.57","67.98","2.96M","1.88%"
"05/12/2025","68.04","68.43","68.58","66.45","3.35M","0.61%"
"05/09/2025","67.63","69.43","70.02","67.03","3.83M","-2.53%"
"05/08/2025","69.39","68.24","70.77","67.68","6.09M","3.13%"
"05/07/2025","67.28","66.54","67.85","65.80","4.42M","1.63%"
"05/06/2025","66.20","65.84","67.01","62.20","12.01M","0.41%"
"05/05/2025","65.93","66.11","67.28","65.00","4.57M","-0.29%"
"05/02/2025","66.12","64.73","66.66","63.99","2.99M","1.85%"
"04/30/2025","64.92","63.90","65.21","63.18","3.84M","1.33%"
"04/29/2025","64.07","64.11","64.46","63.37","2.16M","0.03%"
"04/28/2025","64.05","63.76","64.80","62.95","2.66M","0.83%"
"04/25/2025","63.52","63.31","63.77","62.76","3.64M","0.49%"
"04/24/2025","63.21","63.12","63.80","62.31","3.55M","0.14%"
"04/23/2025","63.12","62.23","63.70","61.81","4.25M","3.53%"
"04/22/2025","60.97","62.90","62.90","60.16","4.85M","-3.45%"
"04/17/2025","63.15","62.65","63.66","62.12","4.71M","1.19%"
"04/16/2025","62.41","65.00","65.08","62.17","5.62M","-3.46%"
"04/15/2025","64.65","63.51","65.56","63.51","5.81M","3.06%"
"04/14/2025","62.73","61.85","63.45","61.81","5.14M","3.33%"
"04/11/2025","60.71","61.19","61.88","59.65","3.99M","-0.34%"
"04/10/2025","60.92","62.52","62.60","60.26","5.14M","-2.45%"
"04/09/2025","62.45","59.86","63.12","58.50","8.19M","3.05%"
"04/08/2025","60.60","61.24","62.24","60.07","8.25M","0.82%"
"04/07/2025","60.11","58.53","61.45","58.12","8.96M","0.17%"
"04/04/2025","60.01","62.45","62.60","59.75","11.49M","-5.29%"
"04/03/2025","63.36","64.40","67.94","63.09","14.15M","-2.33%"
"04/02/2025","64.87","66.13","66.42","64.32","4.85M","-1.32%"
"04/01/2025","65.74","66.06","66.06","64.00","5.49M","-0.02%"
"03/31/2025","65.75","66.15","66.23","63.81","6.00M","-0.92%"
"03/28/2025","66.36","68.35","69.07","66.08","4.50M","-2.87%"
"03/27/2025","68.32","70.00","70.00","68.04","5.39M","-1.46%"
"03/26/2025","69.33","69.98","70.44","68.82","4.53M","-0.59%"
"03/25/2025","69.74","71.62","72.00","69.40","5.02M","-2.12%"
