"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2025","10.70","10.88","10.93","10.68","33.17M","-0.74%"
"06/09/2025","10.78","10.79","10.84","10.61","18.69M","-0.28%"
"06/06/2025","10.81","10.83","10.88","10.76","23.01M","-0.18%"
"06/05/2025","10.83","10.95","10.95","10.76","14.84M","-1.10%"
"06/04/2025","10.95","11.03","11.07","10.88","15.86M","-0.27%"
"06/03/2025","10.98","10.94","11.05","10.91","27.67M","-0.18%"
"06/02/2025","11.00","11.12","11.15","10.88","25.07M","-0.42%"
"05/30/2025","11.05","11.07","11.12","10.92","49.09M","-0.18%"
"05/29/2025","11.07","11.08","11.19","11.00","23.61M","-0.72%"
"05/28/2025","11.15","11.26","11.28","11.08","29.42M","-1.06%"
"05/27/2025","11.27","11.28","11.38","11.19","25.55M","0.89%"
"05/26/2025","11.17","11.11","11.27","11.07","10.47M","0.24%"
"05/23/2025","11.14","10.89","11.14","10.78","39.61M","0.81%"
"05/22/2025","11.05","11.19","11.24","11.02","36.33M","-1.25%"
"05/21/2025","11.19","11.32","11.34","11.05","25.24M","-1.50%"
"05/20/2025","11.36","11.36","11.39","11.24","21.85M","0.18%"
"05/19/2025","11.34","11.18","11.43","11.16","31.21M","1.07%"
"05/16/2025","11.22","11.12","11.23","11.04","41.99M","0.72%"
"05/15/2025","11.14","11.05","11.14","10.98","38.04M","1.27%"
"05/14/2025","11.00","10.94","11.04","10.91","23.06M","0.27%"
"05/13/2025","10.97","10.86","11.02","10.86","48.28M","1.57%"
"05/12/2025","10.80","11.11","11.12","10.79","32.45M","-2.26%"
"05/09/2025","11.05","10.69","11.09","10.67","60.93M","4.25%"
"05/08/2025","10.60","10.66","10.84","10.59","45.37M","0.57%"
"05/07/2025","10.54","10.49","10.55","10.43","26.16M","0.86%"
"05/06/2025","10.45","10.48","10.49","10.36","28.73M","-0.29%"
"05/05/2025","10.48","10.56","10.59","10.42","37.78M","-0.47%"
"05/02/2025","10.53","10.67","10.68","10.42","24.88M","-1.59%"
"04/30/2025","10.70","10.57","10.70","10.51","39.27M","0.66%"
"04/29/2025","10.63","10.62","10.74","10.58","29.04M","0.00%"
"04/28/2025","10.63","10.55","10.66","10.53","17.55M","0.57%"
"04/25/2025","10.57","10.56","10.61","10.49","35.77M","0.09%"
"04/24/2025","10.56","10.38","10.57","10.36","37.11M","2.13%"
"04/23/2025","10.34","10.25","10.43","10.24","38.32M","1.67%"
"04/22/2025","10.17","9.92","10.20","9.90","25.00M","2.21%"
"04/17/2025","9.95","9.91","10.02","9.84","26.32M","0.61%"
"04/16/2025","9.89","9.88","9.98","9.86","38.03M","-0.20%"
"04/15/2025","9.91","9.74","9.95","9.73","28.51M","1.33%"
"04/14/2025","9.78","9.79","9.87","9.70","27.62M","1.35%"
"04/11/2025","9.65","9.60","9.79","9.50","37.80M","1.05%"
"04/10/2025","9.55","9.57","9.64","9.38","32.67M","-0.52%"
"04/09/2025","9.60","9.36","9.77","9.30","40.28M","2.35%"
"04/08/2025","9.38","9.49","9.57","9.36","37.41M","-0.21%"
"04/07/2025","9.40","9.23","9.53","9.16","53.46M","0.64%"
"04/04/2025","9.34","9.51","9.57","9.30","36.85M","-2.91%"
"04/03/2025","9.62","9.40","9.70","9.40","28.51M","1.80%"
"04/02/2025","9.45","9.44","9.52","9.37","19.83M","0.11%"
"04/01/2025","9.44","9.46","9.53","9.35","18.08M","-0.11%"
"03/31/2025","9.45","9.59","9.59","9.43","39.04M","-1.77%"
"03/28/2025","9.62","9.70","9.72","9.55","40.88M","-1.03%"
"03/27/2025","9.72","9.68","9.74","9.63","50.70M","0.83%"
"03/26/2025","9.64","9.75","9.78","9.62","44.26M","-0.72%"
"03/25/2025","9.71","9.61","9.85","9.60","35.02M","1.36%"
"03/24/2025","9.58","9.57","9.66","9.49","38.87M","0.21%"
"03/21/2025","9.56","9.59","9.62","9.54","49.83M","-0.10%"
"03/20/2025","9.57","9.65","9.71","9.56","34.76M","-0.83%"
"03/19/2025","9.65","9.60","9.74","9.56","50.18M","0.73%"
"03/18/2025","9.58","9.53","9.62","9.47","41.15M","0.74%"
