"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2025","4.12","3.92","4.12","3.92","6.42M","6.46%"
"06/09/2025","3.87","3.88","3.92","3.80","16.35M","-1.53%"
"06/06/2025","3.93","3.90","3.98","3.83","7.22M","0.26%"
"06/05/2025","3.92","4.15","4.19","3.91","11.42M","-5.31%"
"06/04/2025","4.14","3.95","4.17","3.88","13.80M","5.08%"
"06/03/2025","3.94","3.72","3.94","3.71","7.00M","5.35%"
"06/02/2025","3.74","3.78","3.86","3.73","6.67M","-0.53%"
"05/30/2025","3.76","3.71","3.81","3.63","5.72M","1.35%"
"05/29/2025","3.71","3.76","3.79","3.66","4.83M","-1.85%"
"05/28/2025","3.78","3.85","3.88","3.77","4.52M","-1.82%"
"05/27/2025","3.85","3.92","3.97","3.83","5.83M","0.00%"
"05/26/2025","3.85","3.87","3.91","3.81","2.80M","0.79%"
"05/23/2025","3.82","3.85","3.86","3.66","5.89M","-0.78%"
"05/22/2025","3.85","3.83","3.97","3.79","8.62M","2.12%"
"05/21/2025","3.77","3.85","3.93","3.74","11.60M","-1.82%"
"05/20/2025","3.84","3.71","3.87","3.54","9.75M","4.07%"
"05/19/2025","3.69","3.70","3.81","3.65","5.31M","0.00%"
"05/16/2025","3.69","3.62","3.76","3.58","6.16M","0.82%"
"05/15/2025","3.66","3.63","3.78","3.61","7.68M","1.39%"
"05/14/2025","3.61","3.61","3.65","3.50","5.77M","0.28%"
"05/13/2025","3.60","3.34","3.63","3.34","7.41M","7.78%"
"05/12/2025","3.34","3.58","3.59","3.33","6.80M","-5.38%"
"05/09/2025","3.53","3.54","3.56","3.40","8.16M","-1.12%"
"05/08/2025","3.57","3.49","3.65","3.47","7.20M","3.48%"
"05/07/2025","3.45","3.50","3.51","3.40","3.44M","-1.43%"
"05/06/2025","3.50","3.48","3.61","3.40","6.97M","-0.28%"
"05/05/2025","3.51","3.61","3.61","3.45","7.19M","-2.50%"
"05/02/2025","3.60","3.62","3.62","3.48","18.42M","-0.28%"
"04/30/2025","3.61","3.67","3.71","3.49","18.54M","-1.63%"
"04/29/2025","3.67","3.78","3.83","3.66","7.34M","-2.39%"
"04/28/2025","3.76","3.92","3.92","3.72","8.22M","-3.34%"
"04/25/2025","3.89","3.78","3.97","3.76","11.24M","2.64%"
