"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2025","32.38","31.51","32.50","31.43","12.02M","3.65%"
"06/09/2025","31.24","31.10","31.48","30.84","9.46M","-1.05%"
"06/06/2025","31.57","31.30","31.85","31.22","9.61M","1.19%"
"06/05/2025","31.20","31.51","31.76","31.15","7.20M","-0.54%"
"06/04/2025","31.37","32.34","32.60","31.37","6.04M","-2.91%"
"06/03/2025","32.31","31.30","32.34","31.10","12.98M","0.65%"
"06/02/2025","32.10","32.77","32.77","32.02","16.21M","0.30%"
"05/30/2025","32.00","32.42","32.42","32.00","15.53M","-1.32%"
"05/29/2025","32.43","32.45","32.59","32.09","7.11M","-0.12%"
"05/28/2025","32.47","33.11","33.11","32.47","6.19M","-1.24%"
"05/27/2025","32.88","32.85","33.15","32.74","11.88M","-1.83%"
"05/26/2025","33.49","33.75","33.78","33.43","2.55M","0.03%"
"05/23/2025","33.48","33.38","33.56","33.01","7.08M","0.15%"
"05/22/2025","33.43","33.78","33.78","33.02","10.84M","-1.33%"
"05/21/2025","33.88","34.18","34.48","33.69","7.88M","-0.85%"
"05/20/2025","34.17","34.10","34.63","34.03","6.47M","0.32%"
"05/19/2025","34.06","34.04","34.21","33.83","5.29M","-0.26%"
"05/16/2025","34.15","34.19","34.50","33.75","9.84M","-0.12%"
"05/15/2025","34.19","33.84","34.30","33.75","6.37M","0.32%"
"05/14/2025","34.08","34.00","34.25","33.63","7.75M","-0.64%"
"05/13/2025","34.30","34.28","34.58","33.71","13.19M","0.59%"
"05/12/2025","34.10","34.00","34.55","33.98","8.69M","2.71%"
"05/09/2025","33.20","33.48","33.48","32.83","5.55M","0.51%"
"05/08/2025","33.03","32.82","33.31","32.56","11.77M","1.69%"
"05/07/2025","32.48","32.44","32.64","32.11","9.59M","0.65%"
"05/06/2025","32.27","32.25","32.64","32.16","9.73M","1.57%"
"05/05/2025","31.77","32.48","32.60","31.76","16.89M","-2.81%"
"05/02/2025","32.69","32.25","32.97","31.91","22.12M","2.00%"
"04/30/2025","32.05","32.38","32.55","31.86","13.18M","-1.54%"
"04/29/2025","32.55","32.45","32.87","32.17","10.58M","0.28%"
"04/28/2025","32.46","32.70","32.98","32.41","9.09M","-0.64%"
"04/25/2025","32.67","32.50","32.85","32.20","10.24M","0.49%"
"04/24/2025","32.51","32.95","32.99","31.95","12.40M","-0.73%"
"04/23/2025","32.75","33.45","33.57","32.50","15.75M","-0.73%"
"04/22/2025","32.99","32.99","33.31","32.45","9.69M","-0.54%"
"04/17/2025","33.17","32.68","33.47","32.48","14.42M","2.50%"
