"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2025","1.92","1.98","2.00","1.92","13.70M","-1.03%"
"06/09/2025","1.94","1.94","1.96","1.87","15.67M","-2.02%"
"06/06/2025","1.98","1.98","1.99","1.94","7.46M","0.51%"
"06/05/2025","1.97","2.01","2.03","1.95","6.37M","-1.99%"
"06/04/2025","2.01","2.01","2.06","1.97","8.36M","0.50%"
"06/03/2025","2.00","1.92","2.03","1.91","10.93M","4.17%"
"06/02/2025","1.92","1.97","1.99","1.92","14.03M","-1.03%"
"05/30/2025","1.94","1.99","2.03","1.94","42.03M","-2.51%"
"05/29/2025","1.99","1.98","2.00","1.93","13.65M","1.02%"
"05/28/2025","1.97","2.00","2.01","1.96","11.72M","-1.01%"
"05/27/2025","1.99","1.96","2.08","1.96","17.79M","1.02%"
"05/26/2025","1.97","2.17","2.23","1.97","32.12M","-7.94%"
"05/23/2025","2.14","2.01","2.23","1.96","48.54M","7.00%"
"05/22/2025","2.00","1.78","2.04","1.77","40.12M","12.36%"
"05/21/2025","1.78","1.69","1.81","1.68","32.50M","5.95%"
"05/20/2025","1.68","1.68","1.70","1.66","19.40M","-0.59%"
"05/19/2025","1.69","1.70","1.71","1.66","20.35M","-1.17%"
"05/16/2025","1.71","1.69","1.71","1.67","25.42M","0.59%"
"05/15/2025","1.70","1.71","1.72","1.68","24.38M","-0.58%"
"05/14/2025","1.71","1.71","1.76","1.68","32.02M","-4.47%"
"05/13/2025","1.79","1.78","1.87","1.77","20.02M","0.56%"
"05/12/2025","1.78","1.82","1.86","1.75","17.09M","-1.11%"
"05/09/2025","1.80","1.83","1.85","1.76","10.66M","-1.10%"
"05/08/2025","1.82","1.77","1.85","1.77","17.06M","5.20%"
"05/07/2025","1.73","1.77","1.77","1.72","6.59M","-1.70%"
"05/06/2025","1.76","1.76","1.80","1.74","7.25M","-0.56%"
"05/05/2025","1.77","1.86","1.89","1.74","18.21M","-4.32%"
"05/02/2025","1.85","1.82","1.87","1.81","8.42M","2.21%"
"04/30/2025","1.81","1.83","1.87","1.79","18.73M","-1.09%"
"04/29/2025","1.83","1.79","1.84","1.78","5.89M","2.23%"
"04/28/2025","1.79","1.80","1.84","1.78","8.43M","-0.56%"
"04/25/2025","1.80","1.84","1.84","1.77","19.36M","-2.70%"
"04/24/2025","1.85","1.78","1.87","1.77","15.04M","3.93%"
"04/23/2025","1.78","1.75","1.82","1.74","16.16M","2.89%"
"04/22/2025","1.73","1.76","1.78","1.72","11.83M","-1.70%"
"04/17/2025","1.76","1.74","1.79","1.73","7.75M","1.15%"
"04/16/2025","1.74","1.76","1.77","1.73","10.46M","-1.14%"
"04/15/2025","1.76","1.77","1.78","1.73","7.64M","-1.12%"
"04/14/2025","1.78","1.78","1.79","1.73","11.01M","1.14%"
"04/11/2025","1.76","1.77","1.78","1.74","10.44M","-0.56%"
"04/10/2025","1.77","1.78","1.79","1.72","14.65M","0.00%"
"04/09/2025","1.77","1.68","1.80","1.66","22.07M","4.73%"
"04/08/2025","1.69","1.70","1.74","1.66","14.03M","0.00%"
"04/07/2025","1.69","1.71","1.76","1.66","16.79M","-2.87%"
"04/04/2025","1.74","1.81","1.81","1.72","17.28M","-5.43%"
"04/03/2025","1.84","1.83","1.89","1.82","16.96M","0.00%"
"04/02/2025","1.84","1.87","1.90","1.83","11.62M","-1.60%"
"04/01/2025","1.87","1.84","1.88","1.84","7.89M","1.08%"
"03/31/2025","1.85","1.86","1.88","1.83","10.89M","-0.54%"
"03/28/2025","1.86","1.92","1.92","1.85","11.95M","-2.62%"
"03/27/2025","1.91","1.89","1.92","1.87","11.74M","1.06%"
"03/26/2025","1.89","1.87","1.90","1.86","11.40M","0.00%"
"03/25/2025","1.89","1.87","1.89","1.86","9.19M","1.07%"
"03/24/2025","1.87","1.87","1.89","1.83","8.73M","0.00%"
"03/21/2025","1.87","1.84","1.87","1.82","37.16M","1.63%"
"03/20/2025","1.84","1.86","1.89","1.83","15.65M","-1.08%"
"03/19/2025","1.86","1.83","1.87","1.81","11.55M","1.64%"
"03/18/2025","1.83","1.83","1.84","1.80","8.06M","0.00%"
"03/17/2025","1.83","1.78","1.85","1.77","13.19M","2.81%"
"03/14/2025","1.78","1.71","1.80","1.70","15.51M","4.09%"
"03/13/2025","1.71","1.71","1.72","1.68","9.97M","0.00%"
"03/12/2025","1.71","1.75","1.76","1.70","6.90M","-1.72%"
"03/11/2025","1.74","1.75","1.76","1.70","5.98M","-0.57%"
"03/10/2025","1.75","1.73","1.79","1.73","10.78M","0.57%"
"03/07/2025","1.74","1.68","1.77","1.67","14.32M","2.35%"
"03/06/2025","1.70","1.70","1.72","1.65","15.14M","-0.58%"
"03/05/2025","1.71","1.66","1.72","1.65","9.73M","3.64%"
"02/28/2025","1.65","1.74","1.76","1.63","21.62M","-4.62%"
"02/27/2025","1.73","1.74","1.77","1.72","8.38M","-0.57%"
"02/26/2025","1.74","1.78","1.79","1.72","9.79M","-1.69%"
"02/25/2025","1.77","1.70","1.78","1.66","24.50M","4.12%"
"02/24/2025","1.70","1.73","1.73","1.67","14.51M","-1.73%"
"02/21/2025","1.73","1.75","1.76","1.70","11.46M","-1.14%"
"02/20/2025","1.75","1.77","1.77","1.73","14.36M","-1.13%"
"02/19/2025","1.77","1.84","1.84","1.77","19.93M","-3.80%"
"02/18/2025","1.84","1.85","1.92","1.83","28.62M","-0.54%"
"02/17/2025","1.85","1.71","1.85","1.64","49.61M","4.52%"
"02/14/2025","1.77","1.77","1.80","1.73","19.93M","0.00%"
"02/13/2025","1.77","1.79","1.80","1.75","5.91M","-1.12%"
"02/12/2025","1.79","1.80","1.83","1.75","13.26M","-1.10%"
"02/11/2025","1.81","1.77","1.83","1.77","8.23M","1.69%"
"02/10/2025","1.78","1.74","1.82","1.74","12.28M","1.14%"
"02/07/2025","1.76","1.83","1.83","1.73","13.86M","-3.83%"
"02/06/2025","1.83","1.70","1.87","1.62","83.47M","8.28%"
"02/05/2025","1.69","1.84","1.84","1.68","55.02M","-7.65%"
"02/04/2025","1.83","1.90","1.91","1.83","24.73M","-3.68%"
"02/03/2025","1.90","1.89","1.91","1.85","45.10M","0.00%"
"01/31/2025","1.90","1.96","1.98","1.90","26.03M","-3.06%"
"01/30/2025","1.96","1.93","1.98","1.93","18.05M","1.55%"
"01/29/2025","1.93","1.98","1.98","1.91","13.93M","-1.53%"
"01/28/2025","1.96","1.97","1.99","1.93","12.29M","-0.51%"
"01/27/2025","1.97","1.90","2.02","1.88","28.21M","4.23%"
"01/24/2025","1.89","1.86","1.93","1.85","15.67M","1.61%"
"01/23/2025","1.86","1.92","1.92","1.85","20.41M","-3.12%"
"01/22/2025","1.92","1.88","1.97","1.87","30.90M","2.67%"
"01/21/2025","1.87","1.92","1.93","1.83","35.35M","-3.11%"
"01/20/2025","1.93","2.01","2.02","1.91","27.66M","-5.39%"
"01/17/2025","2.04","2.02","2.04","2.00","18.97M","1.49%"
"01/16/2025","2.01","2.10","2.10","2.00","12.42M","-3.83%"
"01/15/2025","2.09","2.02","2.10","2.00","14.41M","4.50%"
"01/14/2025","2.00","2.03","2.03","1.97","13.09M","-0.99%"
"01/13/2025","2.02","2.03","2.05","1.99","12.21M","0.00%"
"01/10/2025","2.02","2.04","2.06","2.00","9.77M","-0.98%"
"01/09/2025","2.04","2.06","2.07","2.03","7.72M","0.00%"
"01/08/2025","2.04","2.15","2.16","2.04","18.38M","-5.12%"
"01/07/2025","2.15","2.17","2.23","2.15","12.73M","-0.92%"
"01/06/2025","2.17","2.13","2.18","2.10","11.43M","1.88%"
"01/03/2025","2.13","2.13","2.14","2.08","8.76M","0.00%"
"01/02/2025","2.13","2.16","2.17","2.10","14.33M","-1.39%"
"12/30/2024","2.16","2.12","2.16","2.10","9.31M","1.89%"
"12/27/2024","2.12","2.16","2.18","2.11","12.95M","-1.40%"
"12/26/2024","2.15","2.18","2.21","2.14","9.76M","-1.38%"
"12/23/2024","2.18","2.27","2.30","2.15","10.15M","-4.80%"
"12/20/2024","2.29","2.16","2.32","2.15","16.96M","6.02%"
"12/19/2024","2.16","2.19","2.22","2.15","18.54M","-1.37%"
"12/18/2024","2.19","2.33","2.33","2.15","27.43M","-6.01%"
"12/17/2024","2.33","2.40","2.42","2.32","28.34M","-3.72%"
"12/16/2024","2.42","2.45","2.48","2.41","8.36M","-1.22%"
"12/13/2024","2.45","2.46","2.48","2.43","11.45M","-0.41%"
"12/12/2024","2.46","2.59","2.60","2.45","17.85M","-5.75%"
"12/11/2024","2.61","2.53","2.65","2.52","17.65M","3.16%"
"12/10/2024","2.53","2.47","2.55","2.45","8.04M","3.27%"
"12/09/2024","2.45","2.47","2.50","2.42","7.30M","-0.41%"
"12/06/2024","2.46","2.57","2.59","2.44","12.55M","-3.91%"
"12/05/2024","2.56","2.59","2.62","2.54","7.20M","0.00%"
"12/04/2024","2.56","2.52","2.59","2.51","10.65M","1.59%"
"12/03/2024","2.52","2.51","2.55","2.50","8.04M","0.00%"
"12/02/2024","2.52","2.64","2.65","2.50","17.48M","-4.55%"
"11/29/2024","2.64","2.55","2.67","2.52","15.38M","3.53%"
"11/28/2024","2.55","2.64","2.66","2.55","14.55M","-4.14%"
"11/27/2024","2.66","2.66","2.69","2.63","12.57M","0.00%"
"11/26/2024","2.66","2.66","2.69","2.62","13.63M","0.00%"
"11/25/2024","2.66","2.61","2.70","2.58","21.16M","2.31%"
"11/22/2024","2.60","2.45","2.61","2.44","34.25M","7.00%"
"11/21/2024","2.43","2.46","2.47","2.42","11.43M","-1.62%"
"11/19/2024","2.47","2.50","2.50","2.45","10.09M","-1.20%"
"11/18/2024","2.50","2.43","2.51","2.41","23.15M","3.31%"
"11/14/2024","2.42","2.48","2.49","2.42","22.25M","-2.42%"
"11/13/2024","2.48","2.63","2.64","2.48","35.59M","-6.42%"
"11/12/2024","2.65","2.70","2.70","2.63","12.39M","-1.85%"
"11/11/2024","2.70","2.70","2.72","2.66","9.05M","0.37%"
"11/08/2024","2.69","2.78","2.79","2.68","19.27M","-4.27%"
"11/07/2024","2.81","2.90","2.93","2.78","19.80M","-3.44%"
"11/06/2024","2.91","2.84","2.94","2.83","13.86M","0.00%"
"11/05/2024","2.91","2.89","2.91","2.83","13.71M","0.34%"
"11/04/2024","2.90","2.86","2.91","2.85","17.63M","1.75%"
"11/01/2024","2.85","2.81","2.87","2.80","28.98M","1.79%"
"10/31/2024","2.80","2.84","2.86","2.80","14.52M","-1.41%"
"10/30/2024","2.84","2.83","2.86","2.82","10.41M","0.35%"
"10/29/2024","2.83","2.88","2.89","2.81","11.78M","-1.39%"
"10/28/2024","2.87","2.85","2.89","2.84","6.88M","1.41%"
"10/25/2024","2.83","2.93","2.97","2.82","16.80M","-3.08%"
"10/24/2024","2.92","2.88","2.95","2.84","12.66M","1.74%"
"10/23/2024","2.87","2.84","2.88","2.80","15.13M","0.70%"
"10/22/2024","2.85","2.86","2.89","2.83","11.78M","-1.04%"
"10/21/2024","2.88","2.93","2.93","2.88","11.77M","-1.03%"
"10/18/2024","2.91","2.96","2.98","2.90","7.07M","-1.69%"
"10/17/2024","2.96","3.00","3.01","2.92","8.97M","-1.66%"
"10/16/2024","3.01","3.01","3.06","3.00","11.76M","0.00%"
"10/15/2024","3.01","2.96","3.02","2.95","10.63M","1.69%"
"10/14/2024","2.96","2.94","2.98","2.90","12.08M","0.34%"
"10/11/2024","2.95","2.97","2.98","2.89","11.77M","-1.01%"
"10/10/2024","2.98","2.99","3.01","2.96","6.23M","0.00%"
"10/09/2024","2.98","3.01","3.02","2.96","11.19M","-1.32%"
"10/08/2024","3.02","3.02","3.04","2.99","10.63M","-0.66%"
"10/07/2024","3.04","3.06","3.07","3.01","9.30M","-0.33%"
"10/04/2024","3.05","3.05","3.10","3.03","6.88M","-0.33%"
"10/03/2024","3.06","3.14","3.15","3.00","19.33M","-3.16%"
"10/02/2024","3.16","3.13","3.24","3.13","12.47M","1.61%"
"10/01/2024","3.11","3.11","3.17","3.09","14.74M","0.32%"
"09/30/2024","3.10","3.13","3.17","3.09","16.44M","-1.90%"
"09/27/2024","3.16","3.05","3.20","3.04","29.01M","3.61%"
"09/26/2024","3.05","3.04","3.11","3.03","10.46M","0.33%"
"09/25/2024","3.04","3.11","3.12","3.02","14.03M","-1.94%"
"09/24/2024","3.10","3.08","3.15","3.07","16.44M","1.97%"
"09/23/2024","3.04","3.14","3.14","3.04","23.59M","-3.18%"
"09/20/2024","3.14","3.06","3.14","3.04","28.71M","2.28%"
"09/19/2024","3.07","3.13","3.14","3.07","7.17M","-0.97%"
"09/18/2024","3.10","3.13","3.17","3.09","17.45M","-1.59%"
"09/17/2024","3.15","3.09","3.18","3.07","14.42M","1.61%"
"09/16/2024","3.10","3.10","3.14","3.07","8.59M","0.32%"
"09/13/2024","3.09","3.08","3.14","3.06","13.08M","0.98%"
"09/12/2024","3.06","3.00","3.09","2.98","19.89M","2.34%"
"09/11/2024","2.99","2.95","3.00","2.94","11.71M","1.36%"
"09/10/2024","2.95","3.00","3.00","2.92","14.06M","-1.67%"
"09/09/2024","3.00","3.04","3.05","2.98","8.92M","-1.32%"
"09/06/2024","3.04","3.14","3.15","3.04","18.70M","-3.18%"
"09/05/2024","3.14","3.14","3.18","3.12","11.15M","0.00%"
"09/04/2024","3.14","3.12","3.17","3.10","10.83M","0.64%"
"09/03/2024","3.12","3.17","3.19","3.12","8.04M","-1.89%"
"09/02/2024","3.18","3.19","3.20","3.16","5.51M","-0.93%"
"08/30/2024","3.21","3.19","3.22","3.15","12.93M","0.00%"
"08/29/2024","3.21","3.26","3.27","3.17","13.10M","-1.83%"
"08/28/2024","3.27","3.27","3.29","3.21","11.59M","-0.30%"
"08/27/2024","3.28","3.29","3.32","3.26","12.88M","-0.61%"
"08/26/2024","3.30","3.25","3.32","3.20","13.63M","0.92%"
"08/23/2024","3.27","3.22","3.32","3.22","17.49M","0.93%"
"08/22/2024","3.24","3.25","3.28","3.20","14.26M","-0.31%"
"08/21/2024","3.25","3.29","3.33","3.22","24.92M","-1.52%"
"08/20/2024","3.30","3.31","3.31","3.24","13.00M","0.00%"
"08/19/2024","3.30","3.31","3.35","3.28","18.20M","0.00%"
"08/16/2024","3.30","3.29","3.32","3.25","14.94M","0.61%"
"08/15/2024","3.28","3.23","3.32","3.21","16.28M","0.92%"
"08/14/2024","3.25","3.35","3.35","3.18","30.12M","-4.13%"
"08/13/2024","3.39","3.31","3.40","3.27","15.99M","2.42%"
